Source,Target,Edge_Label
ActaBenefits,ActaEDW,Revenue
ActaBenefits,ActaFin,Scanner
ActaBenefits,ActaFlour,Division
ActaBenefits,ActaFlour,OTS Order
ActaBenefits,ActaFlour,Pack
ActaBenefits,ActaFlour,Price Data
ActaBenefits,ActaFresh,Consumer Case
ActaBenefits,ActaFresh,Warehouse Shipping
ActaBenefits,ActaFuel,Basket
ActaBenefits,ActaFuel,Item Detail
ActaBenefits,ActaFuel,OTS Cost
ActaBenefits,ActaFuel,Sales
ActaBenefits,ActaFuel,Warehouse Delivery
ActaBenefits,ActaHR,Authorization
ActaBenefits,ActaHR,Ingredient
ActaBenefits,ActaHR,Item Master
ActaBenefits,ActaHR,Store Catalog
ActaBenefits,ActaKronos,Cost
ActaBenefits,ActaKronos,Unit
ActaBenefits,ActaLink,Price History
ActaBenefits,ActaMfg,Consumer
ActaBenefits,ActaMfg,OrderDetail
ActaBenefits,ActaMfg,Pack
ActaBenefits,ActaMfg,Promotion
ActaBenefits,ActaMfg,Scanner
ActaBenefits,ActaMktng,Basket
ActaBenefits,ActaMktng,Campaign
ActaBenefits,ActaMktng,Vendor
ActaBenefits,ActaMobile,Authorization Data
ActaBenefits,ActaMobile,OrderDetail
ActaBenefits,ActaODS,Basket
ActaBenefits,ActaODS,Customer
ActaBenefits,ActaODS,Marketing Plans
ActaBenefits,ActaPay,Store Catalog
ActaBenefits,ActaPay,Unit
ActaBenefits,ActaPharm,Product Case
ActaBenefits,ActaPharm,Sales Plans
ActaBenefits,ActaPlan,Customer
ActaBenefits,ActaPlan,Employee
ActaBenefits,ActaPlan,Sales Plans
ActaBenefits,ActaPointMain,Basket
ActaBenefits,ActaPointMain,Price Change
ActaBenefits,ActaPointMain,Store Catalog
ActaBenefits,ActaPointStore,OTS
ActaBenefits,ActaPointStore,OTS Item
ActaBenefits,ActaPointStore,Product
ActaBenefits,ActaPointStore,Web-Log
ActaBenefits,ActaPointStore,Whse-Case
ActaBenefits,ActaProdID,Contract
ActaBenefits,ActaProdID,Item Hierarchy
ActaBenefits,ActaProdID,Order
ActaBenefits,ActaProdID,OTS Item
ActaBenefits,ActaProdID,Pack
ActaBenefits,ActaProdID,Price Change
ActaBenefits,ActaProdID,Promotion
ActaBenefits,ActaProdID,Warehouse Shipping
ActaBenefits,ActaPromise,Division
ActaBenefits,ActaPromise,Item Master
ActaBenefits,ActaReport,Authorization Data
ActaBenefits,ActaReport,Offer
ActaBenefits,ActaReport,Sales
ActaBenefits,ActaReport,Web-Log
ActaBenefits,ActaSched,Basket
ActaBenefits,ActaSched,Case
ActaBenefits,ActaSched,Marketing Plans
ActaBenefits,ActaSched,OTS Item
ActaBenefits,ActaStore,DeliveryTruck
ActaBenefits,ActaStore,Ingredient
ActaBenefits,ActaWeb,Sales Plans
ActaBenefits,ActaWeb,Unit
ActaBenefits,ActaWeb,Warehouse Delivery
ActaBenefits,ActaWHSE,OTS Vendor
ActaBenefits,EBJ_CRM,Store Catalog
ActaBenefits,FRWN-Time,Price History
ActaBilling,ActaAcctDM,Case
ActaBilling,ActaAcctDM,OTS Billing
ActaBilling,ActaAcctDM,Scanner
ActaBilling,ActaBenefits,Item Hierarchy
ActaBilling,ActaBenefits,OTS Billing
ActaBilling,ActaBenefits,Scanner
ActaBilling,ActaBenefits,Vendor
ActaBilling,ActaComp,Deal
ActaBilling,ActaComp,OTS
ActaBilling,ActaComp,OTS Item
ActaBilling,ActaComp,Revenue
ActaBilling,ActaComp,Warehoust Dist
ActaBilling,ActaCoupons,OTS Cost
ActaBilling,ActaCoupons,Product Case
ActaBilling,ActaCS,Authorization Overide
ActaBilling,ActaCS,Coupon
ActaBilling,ActaCS,Price Change
ActaBilling,ActaCS,Unit
ActaBilling,ActaData,BOL
ActaBilling,ActaData,Marketing Plans
ActaBilling,ActaData,OrderDetail
ActaBilling,ActaData,Pack
ActaBilling,ActaData,Warehouse Shipping
ActaBilling,ActaDist,OTS
ActaBilling,ActaDist,Promotion
ActaBilling,ActaDist,Warehouse Shipping
ActaBilling,ActaDist,Warehoust Dist
ActaBilling,ActaEDW,Authorization Data
ActaBilling,ActaEDW,Purchase
ActaBilling,ActaEDW,Sales
ActaBilling,ActaFin,Basket
ActaBilling,ActaFin,DeliveryTruck
ActaBilling,ActaFin,Store Deliveries
ActaBilling,ActaFlour,Campaign
ActaBilling,ActaFlour,Case
ActaBilling,ActaFlour,OTS Vendor
ActaBilling,ActaFlour,Warehouse Order
ActaBilling,ActaFresh,OTS Cost
ActaBilling,ActaFresh,OTS Item
ActaBilling,ActaFresh,Price Change
ActaBilling,ActaFuel,Cost
ActaBilling,ActaFuel,Division
ActaBilling,ActaFuel,Item Detail
ActaBilling,ActaFuel,Item Hierarchy
ActaBilling,ActaFuel,OrderDetail
ActaBilling,ActaFuel,Vendor
ActaBilling,ActaFuel,Web-Log
ActaBilling,ActaHR,Order
ActaBilling,ActaKronos,Allocation
ActaBilling,ActaKronos,Coupon
ActaBilling,ActaKronos,Store Inventory
ActaBilling,ActaLink,Allocation
ActaBilling,ActaLink,Authorization Overide
ActaBilling,ActaLink,BOL
ActaBilling,ActaLink,Division
ActaBilling,ActaLink,Price Change
ActaBilling,ActaMfg,Sales Plans
ActaBilling,ActaMfg,Warehouse Delivery
ActaBilling,ActaMfg,Warehouse Order
ActaBilling,ActaMfg,Warehoust Dist
ActaBilling,ActaMktng,Customer
ActaBilling,ActaMktng,Deal
ActaBilling,ActaMktng,Item Hierarchy
ActaBilling,ActaMktng,OTS Order
ActaBilling,ActaMktng,Price Data
ActaBilling,ActaMktng,Web-Log
ActaBilling,ActaMobile,OTS Cost
ActaBilling,ActaMobile,Sales Plans
ActaBilling,ActaODS,Consumer
ActaBilling,ActaODS,Consumer Case
ActaBilling,ActaODS,Location
ActaBilling,ActaODS,Offer
ActaBilling,ActaODS,OTS Item
ActaBilling,ActaODS,Product
ActaBilling,ActaPay,OTS Cost
ActaBilling,ActaPay,Web-Log
ActaBilling,ActaPharm,Case
ActaBilling,ActaPharm,Division
ActaBilling,ActaPlan,Item Master
ActaBilling,ActaPointMain,Consumer Case
ActaBilling,ActaPointMain,Warehoust Dist
ActaBilling,ActaPointStore,Coupon
ActaBilling,ActaPointStore,Marketing Plans
ActaBilling,ActaPointStore,Purchase
ActaBilling,ActaPointStore,Warehouse Order
ActaBilling,ActaProdID,Timesheet
ActaBilling,ActaPromise,Coupon
ActaBilling,ActaPromise,OTS Item
ActaBilling,ActaPromise,Sales Plans
ActaBilling,ActaPromise,Web-Log
ActaBilling,ActaSched,OTS Order
ActaBilling,ActaSched,Store Catalog
ActaBilling,ActaStore,Customer
ActaBilling,ActaStore,OTS Order
ActaBilling,ActaWeb,Contract
ActaBilling,ActaWeb,OrderDetail
ActaBilling,ActaWeb,OTS Cost
ActaBilling,ActaWeb,Promotion
ActaBilling,ActaWeb,Web-Log
ActaBilling,ActaWHSE,Coupon
ActaBilling,ActaWHSE,Division
ActaComp,ActaAcctDM,Authorization Data
ActaComp,ActaAcctDM,Employee
ActaComp,ActaBenefits,Offer
ActaComp,ActaBenefits,Revenue
ActaComp,ActaBenefits,Warehouse Shipping
ActaComp,ActaBilling,Order
ActaComp,ActaBilling,OrderDetail
ActaComp,ActaBilling,OTS
ActaComp,ActaCoupons,OTS
ActaComp,ActaCoupons,Site
ActaComp,ActaCoupons,Warehoust Dist
ActaComp,ActaCoupons,Whse-Case
ActaComp,ActaCS,Sales
ActaComp,ActaData,Coupon
ActaComp,ActaData,Department
ActaComp,ActaDist,Revenue
ActaComp,ActaEDW,Product
ActaComp,ActaEDW,Purchase
ActaComp,ActaEDW,Store Catalog
ActaComp,ActaEDW,Web-Log
ActaComp,ActaFin,Contract
ActaComp,ActaFin,OTS Vendor
ActaComp,ActaFin,Price Change
ActaComp,ActaFin,Price History
ActaComp,ActaFlour,Cost
ActaComp,ActaFlour,OTS Cost
ActaComp,ActaFlour,Sales Plans
ActaComp,ActaFresh,OrderDetail
ActaComp,ActaFresh,Site
ActaComp,ActaFuel,Customer
ActaComp,ActaFuel,Location
ActaComp,ActaFuel,OTS Order
ActaComp,ActaFuel,Promotion
ActaComp,ActaFuel,Purchase
ActaComp,ActaHR,Case
ActaComp,ActaHR,Cost
ActaComp,ActaHR,Revenue
ActaComp,ActaHR,Timesheet
ActaComp,ActaHR,Unit
ActaComp,ActaKronos,Customer
ActaComp,ActaKronos,OTS Billing
ActaComp,ActaKronos,Sales Plans
ActaComp,ActaKronos,Scanner
ActaComp,ActaKronos,Vendor
ActaComp,ActaKronos,Warehouse Order
ActaComp,ActaKronos,Web-Log
ActaComp,ActaLink,BOL
ActaComp,ActaLink,Location
ActaComp,ActaMktng,Customer
ActaComp,ActaMktng,Pack
ActaComp,ActaMktng,Price History
ActaComp,ActaMktng,Store Inventory
ActaComp,ActaMktng,Unit
ActaComp,ActaMobile,Contract
ActaComp,ActaMobile,Department
ActaComp,ActaMobile,Division
ActaComp,ActaMobile,Offer
ActaComp,ActaMobile,Scanner
ActaComp,ActaMobile,Unit
ActaComp,ActaODS,Authorization
ActaComp,ActaODS,Item Master
ActaComp,ActaODS,Sales Plans
ActaComp,ActaODS,Store Catalog
ActaComp,ActaODS,Web-Log
ActaComp,ActaPay,Price History
ActaComp,ActaPay,Warehouse Order
ActaComp,ActaPharm,Consumer
ActaComp,ActaPharm,Location
ActaComp,ActaPharm,OTS Cost
ActaComp,ActaPharm,Purchase
ActaComp,ActaPharm,Revenue
ActaComp,ActaPharm,Site
ActaComp,ActaPlan,DeliveryTruck
ActaComp,ActaPlan,Marketing Plans
ActaComp,ActaPlan,Sales
ActaComp,ActaPointMain,Authorization Data
ActaComp,ActaPointMain,Consumer Case
ActaComp,ActaPointMain,DeliveryTruck
ActaComp,ActaPointMain,Price History
ActaComp,ActaPointMain,Vendor
ActaComp,ActaPointStore,Case
ActaComp,ActaPointStore,Item Detail
ActaComp,ActaPointStore,Marketing Plans
ActaComp,ActaPointStore,OTS Item
ActaComp,ActaPointStore,Purchase
ActaComp,ActaPointStore,Site
ActaComp,ActaPointStore,Unit
ActaComp,ActaProdID,Coupon
ActaComp,ActaProdID,Employee
ActaComp,ActaProdID,Store Inventory
ActaComp,ActaPromise,BOL
ActaComp,ActaPromise,Product
ActaComp,ActaPromise,Site
ActaComp,ActaPromise,Whse-Case
ActaComp,ActaReport,Product Case
ActaComp,ActaSched,Division
ActaComp,ActaSched,Order
ActaComp,ActaSched,Timesheet
ActaComp,ActaStore,BOL
ActaComp,ActaStore,Deal
ActaComp,ActaStore,OTS Cost
ActaComp,ActaStore,Promotion
ActaComp,ActaStore,Store Catalog
ActaComp,ActaStoreLoc,Store Inventory
ActaComp,ActaWeb,Deal
ActaComp,ActaWeb,Ingredient
ActaComp,ActaWeb,Price History
ActaComp,ActaWHSE,BOL
ActaComp,ActaWHSE,OTS Cost
ActaComp,ActaWHSE,OTS Item
ActaComp,EBJ_CRM,Authorization
ActaComp,EBJ_Purchasing,Sales Plans
ActaComp,FRWN-Time,Sales Plans
ActaComp,WdyMktng,Offer
ActaComp,WdyPurchasing,Scanner
ActaComp,WdyTime,Sales Plans
ActaCoupons,ActaAcctDM,Basket
ActaCoupons,ActaAcctDM,Order
ActaCoupons,ActaBenefits,Allocation
ActaCoupons,ActaBenefits,OTS Item
ActaCoupons,ActaBenefits,Warehouse Shipping
ActaCoupons,ActaBilling,Item Hierarchy
ActaCoupons,ActaBilling,Purchase
ActaCoupons,ActaBilling,Store Inventory
ActaCoupons,ActaComp,Price History
ActaCoupons,ActaComp,Warehouse Order
ActaCoupons,ActaCS,Authorization Overide
ActaCoupons,ActaCS,OTS Order
ActaCoupons,ActaCS,Price Data
ActaCoupons,ActaData,Price Change
ActaCoupons,ActaData,Product Case
ActaCoupons,ActaData,Store Catalog
ActaCoupons,ActaDist,Authorization Data
ActaCoupons,ActaDist,OTS Order
ActaCoupons,ActaDist,Warehouse Order
ActaCoupons,ActaDist,Warehouse Shipping
ActaCoupons,ActaEDW,Product
ActaCoupons,ActaFin,Contract
ActaCoupons,ActaFin,Coupon
ActaCoupons,ActaFin,Employee
ActaCoupons,ActaFin,OTS Item
ActaCoupons,ActaFin,Revenue
ActaCoupons,ActaFin,Site
ActaCoupons,ActaFin,Store Inventory
ActaCoupons,ActaFlour,Authorization Overide
ActaCoupons,ActaFlour,Department
ActaCoupons,ActaFlour,Ingredient
ActaCoupons,ActaFlour,Product Case
ActaCoupons,ActaFlour,Sales
ActaCoupons,ActaFlour,Store Deliveries
ActaCoupons,ActaFresh,BOL
ActaCoupons,ActaFresh,Location
ActaCoupons,ActaFresh,Promotion
ActaCoupons,ActaFuel,Contract
ActaCoupons,ActaFuel,Customer
ActaCoupons,ActaFuel,Department
ActaCoupons,ActaFuel,Division
ActaCoupons,ActaFuel,Location
ActaCoupons,ActaFuel,Store Inventory
ActaCoupons,ActaHR,Consumer Case
ActaCoupons,ActaHR,Deal
ActaCoupons,ActaKronos,Sales Plans
ActaCoupons,ActaKronos,Store Catalog
ActaCoupons,ActaKronos,Warehouse Shipping
ActaCoupons,ActaLink,OrderDetail
ActaCoupons,ActaLink,OTS Vendor
ActaCoupons,ActaLink,Pack
ActaCoupons,ActaMfg,OTS Billing
ActaCoupons,ActaMfg,Sales
ActaCoupons,ActaMktng,Sales
ActaCoupons,ActaMktng,Store Inventory
ActaCoupons,ActaMktng,Unit
ActaCoupons,ActaMktng,Warehoust Dist
ActaCoupons,ActaMobile,Contract
ActaCoupons,ActaMobile,DeliveryTruck
ActaCoupons,ActaMobile,Item Hierarchy
ActaCoupons,ActaMobile,OrderDetail
ActaCoupons,ActaMobile,Pack
ActaCoupons,ActaMobile,Purchase
ActaCoupons,ActaODS,BOL
ActaCoupons,ActaODS,Contract
ActaCoupons,ActaODS,Store Deliveries
ActaCoupons,ActaODS,Unit
ActaCoupons,ActaODS,Warehouse Order
ActaCoupons,ActaPay,Ingredient
ActaCoupons,ActaPay,Marketing Plans
ActaCoupons,ActaPay,Purchase
ActaCoupons,ActaPay,Sales
ActaCoupons,ActaPharm,Authorization
ActaCoupons,ActaPharm,Campaign
ActaCoupons,ActaPharm,OTS Order
ActaCoupons,ActaPharm,Store Catalog
ActaCoupons,ActaPlan,Authorization Overide
ActaCoupons,ActaPlan,Deal
ActaCoupons,ActaPlan,Sales Plans
ActaCoupons,ActaPointMain,Division
ActaCoupons,ActaPointMain,OTS Billing
ActaCoupons,ActaPointMain,Purchase
ActaCoupons,ActaPointMain,Store Inventory
ActaCoupons,ActaPointStore,Customer
ActaCoupons,ActaPointStore,Item Master
ActaCoupons,ActaPointStore,OTS Item
ActaCoupons,ActaPointStore,Whse-Case
ActaCoupons,ActaProdID,Employee
ActaCoupons,ActaProdID,Price History
ActaCoupons,ActaProdID,Promotion
ActaCoupons,ActaPromise,Consumer
ActaCoupons,ActaPromise,Department
ActaCoupons,ActaPromise,Store Catalog
ActaCoupons,ActaReport,Item Detail
ActaCoupons,ActaReport,Location
ActaCoupons,ActaReport,Store Deliveries
ActaCoupons,ActaReport,Warehoust Dist
ActaCoupons,ActaSched,Case
ActaCoupons,ActaSched,OTS Item
ActaCoupons,ActaSched,OTS Vendor
ActaCoupons,ActaSched,Price Change
ActaCoupons,ActaStore,Deal
ActaCoupons,ActaStore,Ingredient
ActaCoupons,ActaStoreLoc,DeliveryTruck
ActaCoupons,ActaStoreLoc,OTS Vendor
ActaCoupons,ActaStoreLoc,Sales Plans
ActaCoupons,ActaWeb,Marketing Plans
ActaCoupons,ActaWeb,Web-Log
ActaCoupons,ActaWHSE,Coupon
ActaCoupons,ActaWHSE,Deal
ActaCS,ActaAcctDM,DeliveryTruck
ActaCS,ActaAcctDM,Ingredient
ActaCS,ActaBenefits,Campaign
ActaCS,ActaBenefits,Contract
ActaCS,ActaBenefits,OTS Billing
ActaCS,ActaBenefits,OTS Cost
ActaCS,ActaBilling,Marketing Plans
ActaCS,ActaComp,Consumer
ActaCS,ActaComp,Cost
ActaCS,ActaComp,Item Master
ActaCS,ActaComp,Marketing Plans
ActaCS,ActaComp,OTS Billing
ActaCS,ActaComp,Store Deliveries
ActaCS,ActaCoupons,Price Data
ActaCS,ActaCoupons,Store Inventory
ActaCS,ActaCoupons,Warehoust Dist
ActaCS,ActaData,Allocation
ActaCS,ActaData,Contract
ActaCS,ActaData,Division
ActaCS,ActaData,OrderDetail
ActaCS,ActaDist,Campaign
ActaCS,ActaDist,Consumer Case
ActaCS,ActaDist,DeliveryTruck
ActaCS,ActaDist,Price History
ActaCS,ActaEDW,Case
ActaCS,ActaEDW,Product
ActaCS,ActaFin,Authorization
ActaCS,ActaFin,Authorization Overide
ActaCS,ActaFin,Contract
ActaCS,ActaFin,Offer
ActaCS,ActaFin,OTS Cost
ActaCS,ActaFin,Store Inventory
ActaCS,ActaFlour,Coupon
ActaCS,ActaFlour,Deal
ActaCS,ActaFlour,OrderDetail
ActaCS,ActaFlour,OTS Billing
ActaCS,ActaFresh,Purchase
ActaCS,ActaFuel,Authorization
ActaCS,ActaFuel,Consumer
ActaCS,ActaFuel,Item Master
ActaCS,ActaKronos,Consumer Case
ActaCS,ActaLink,Item Master
ActaCS,ActaLink,Offer
ActaCS,ActaLink,Price Change
ActaCS,ActaLink,Promotion
ActaCS,ActaLink,Site
ActaCS,ActaMfg,Allocation
ActaCS,ActaMfg,Deal
ActaCS,ActaMfg,Warehouse Shipping
ActaCS,ActaMktng,OTS Cost
ActaCS,ActaMobile,Department
ActaCS,ActaMobile,Pack
ActaCS,ActaMobile,Site
ActaCS,ActaODS,OrderDetail
ActaCS,ActaODS,Store Catalog
ActaCS,ActaPay,Coupon
ActaCS,ActaPay,Price Data
ActaCS,ActaPharm,Authorization
ActaCS,ActaPharm,Item Hierarchy
ActaCS,ActaPharm,Location
ActaCS,ActaPharm,Offer
ActaCS,ActaPharm,OTS Cost
ActaCS,ActaPharm,Store Catalog
ActaCS,ActaPharm,Warehouse Shipping
ActaCS,ActaPharm,Warehoust Dist
ActaCS,ActaPlan,OTS Billing
ActaCS,ActaPointMain,Allocation
ActaCS,ActaPointMain,Campaign
ActaCS,ActaPointMain,OrderDetail
ActaCS,ActaPointMain,OTS Billing
ActaCS,ActaPointMain,Unit
ActaCS,ActaPointStore,OTS Billing
ActaCS,ActaPointStore,Warehouse Order
ActaCS,ActaPromise,Timesheet
ActaCS,ActaReport,Department
ActaCS,ActaReport,OrderDetail
ActaCS,ActaReport,Revenue
ActaCS,ActaReport,Site
ActaCS,ActaSched,Order
ActaCS,ActaSched,Sales Plans
ActaCS,ActaSched,Warehouse Delivery
ActaCS,ActaStore,Cost
ActaCS,ActaStore,OTS Billing
ActaCS,ActaStore,Revenue
ActaCS,ActaStoreLoc,Authorization Overide
ActaCS,ActaStoreLoc,DeliveryTruck
ActaCS,ActaStoreLoc,Division
ActaCS,ActaWeb,Web-Log
ActaCS,ActaWeb,Whse-Case
ActaCS,ActaWHSE,Product Case
ActaCS,ActaWHSE,Sales Plans
ActaCS,EBJ_Security,Location
ActaCS,WdyLoyalty,Customer
ActaCS,WdyPurchasing,Authorization Overide
ActaCS,WdyPurchasing,Site
ActaCS,WdyTime,Authorization Overide
ActaData,ActaAcctDM,Department
ActaData,ActaAcctDM,Item Master
ActaData,ActaBenefits,Cost
ActaData,ActaBenefits,Product Case
ActaData,ActaBenefits,Store Inventory
ActaData,ActaBilling,BOL
ActaData,ActaBilling,Item Master
ActaData,ActaBilling,Offer
ActaData,ActaBilling,Vendor
ActaData,ActaBilling,Warehouse Shipping
ActaData,ActaComp,Allocation
ActaData,ActaComp,Unit
ActaData,ActaComp,Warehouse Delivery
ActaData,ActaCoupons,Cost
ActaData,ActaCoupons,Customer
ActaData,ActaCoupons,Deal
ActaData,ActaCoupons,OrderDetail
ActaData,ActaCoupons,OTS Cost
ActaData,ActaCoupons,Sales Plans
ActaData,ActaCoupons,Web-Log
ActaData,ActaCS,Promotion
ActaData,ActaCS,Vendor
ActaData,ActaDist,BOL
ActaData,ActaDist,Marketing Plans
ActaData,ActaDist,Warehouse Order
ActaData,ActaFin,Employee
ActaData,ActaFin,Order
ActaData,ActaFin,OTS Billing
ActaData,ActaFin,Store Deliveries
ActaData,ActaFlour,Division
ActaData,ActaFlour,Store Inventory
ActaData,ActaFlour,Warehouse Order
ActaData,ActaFlour,Warehoust Dist
ActaData,ActaFresh,Authorization Data
ActaData,ActaFresh,Customer
ActaData,ActaFresh,OTS
ActaData,ActaFresh,Revenue
ActaData,ActaFresh,Whse-Case
ActaData,ActaFuel,Marketing Plans
ActaData,ActaHR,Order
ActaData,ActaHR,OTS Item
ActaData,ActaKronos,Contract
ActaData,ActaKronos,OTS Vendor
ActaData,ActaKronos,Warehouse Order
ActaData,ActaLink,Consumer
ActaData,ActaLink,Division
ActaData,ActaMfg,Authorization Data
ActaData,ActaMfg,Campaign
ActaData,ActaMfg,Ingredient
ActaData,ActaMfg,Item Master
ActaData,ActaMfg,Web-Log
ActaData,ActaMktng,Consumer Case
ActaData,ActaMktng,Contract
ActaData,ActaMktng,Vendor
ActaData,ActaMktng,Warehoust Dist
ActaData,ActaMktng,Web-Log
ActaData,ActaMobile,Ingredient
ActaData,ActaMobile,OTS Item
ActaData,ActaODS,Location
ActaData,ActaODS,Sales Plans
ActaData,ActaODS,Store Inventory
ActaData,ActaPay,Basket
ActaData,ActaPay,BOL
ActaData,ActaPay,Consumer Case
ActaData,ActaPay,Customer
ActaData,ActaPay,Employee
ActaData,ActaPay,Product
ActaData,ActaPay,Warehouse Shipping
ActaData,ActaPharm,Authorization
ActaData,ActaPharm,Ingredient
ActaData,ActaPharm,Marketing Plans
ActaData,ActaPharm,OTS Cost
ActaData,ActaPharm,Price Data
ActaData,ActaPointMain,Coupon
ActaData,ActaPointMain,Sales
ActaData,ActaPointStore,BOL
ActaData,ActaPointStore,Consumer Case
ActaData,ActaPointStore,Promotion
ActaData,ActaPointStore,Web-Log
ActaData,ActaProdID,Basket
ActaData,ActaProdID,Pack
ActaData,ActaProdID,Store Inventory
ActaData,ActaProdID,Unit
ActaData,ActaPromise,Price Data
ActaData,ActaPromise,Timesheet
ActaData,ActaPromise,Whse-Case
ActaData,ActaReport,Order
ActaData,ActaReport,OrderDetail
ActaData,ActaReport,Pack
ActaData,ActaReport,Warehouse Order
ActaData,ActaSched,OTS Billing
ActaData,ActaStore,Store Catalog
ActaData,ActaStoreLoc,Case
ActaData,ActaStoreLoc,DeliveryTruck
ActaData,ActaStoreLoc,OTS
ActaData,ActaStoreLoc,Promotion
ActaData,ActaWeb,OTS Order
ActaData,ActaWeb,Price Data
ActaData,ActaWeb,Vendor
ActaData,ActaWeb,Web-Log
ActaData,ActaWHSE,Marketing Plans
